Date,Weekno,Employee_id,Name,Status,Month_Name,Day_Type
2022-04-01,W 14,Atq -458,Jessie Carrillo,WFO,April,Friday
2022-04-01,W 14,Atq -400,Chad Macias,WFO,April,Friday
2022-04-01,W 14,Atq -437,Dallas Weeks,WFO,April,Friday
2022-04-01,W 14,Atq -369,Greta Horton,WFO,April,Friday
2022-04-01,W 14,Atq -374,Kaley Fitzpatrick,WFO,April,Friday
2022-04-01,W 14,Atq -470,Jovani Pope,WFO,April,Friday
2022-04-01,W 14,Atq -455,Caylee Meadows,WFO,April,Friday
2022-04-01,W 14,Atq -385,Finnegan Gilbert,WFO,April,Friday
2022-04-01,W 14,Atq -387,Konner Henson,WFO,April,Friday
2022-04-01,W 14,Atq -443,Andrew Cummings,WFO,April,Friday
2022-04-01,W 14,Atq -453,Nehemiah Diaz,WFO,April,Friday
2022-04-01,W 14,Atq -376,Dominique Benjamin,WFO,April,Friday
2022-04-01,W 14,Atq -418,Hillary Kirk,WFO,April,Friday
2022-04-01,W 14,Atq -373,Isiah Small,WFO,April,Friday
2022-04-01,W 14,Atq -418,Marquis Wyatt,WFO,April,Friday
2022-04-01,W 14,Atq -414,Titus Andersen,WFO,April,Friday
2022-04-01,W 14,Atq -403,Will Mahoney,WFO,April,Friday
2022-04-01,W 14,Atq -393,Emma Freeman,WFO,April,Friday
2022-04-01,W 14,Atq -367,Briley Orr,WFO,April,Friday
2022-04-01,W 14,Atq -421,Rylee Mullins,WFO,April,Friday
2022-04-01,W 14,Atq -432,Ryann Guerrero,WFO,April,Friday
2022-04-01,W 14,Atq -484,Demarcus Gordon,WFO,April,Friday
2022-04-01,W 14,Atq -428,Ciara Allison,WFO,April,Friday
2022-04-01,W 14,Atq -467,Esperanza Irwin,WFO,April,Friday
2022-04-01,W 14,Atq -396,Karma Reeves,WFO,April,Friday
2022-04-01,W 14,Atq -472,Cristofer Bernard,WFO,April,Friday
2022-04-01,W 14,Atq -412,Tucker Austin,WFO,April,Friday
2022-04-01,W 14,Atq -398,Salvatore Hendrix,WFO,April,Friday
2022-04-01,W 14,Atq -484,Adyson Moyer,WFO,April,Friday
2022-04-01,W 14,Atq -385,Jase Ingram,WFO,April,Friday
2022-04-01,W 14,Atq -456,Adriel Pace,WFO,April,Friday
2022-04-01,W 14,Atq -375,Kenley Marsh,WFO,April,Friday
2022-04-01,W 14,Atq -475,London Kim,WFO,April,Friday
2022-04-01,W 14,Atq -435,Dean Mclaughlin,WFO,April,Friday
2022-04-01,W 14,Atq -348,Weston Horton,WFO,April,Friday
2022-04-01,W 14,Atq -468,Xiomara Ruiz,WFO,April,Friday
2022-04-01,W 14,Atq -368,Macie Callahan,WFO,April,Friday
2022-04-01,W 14,Atq -475,Rey Novak,WFO,April,Friday
2022-04-01,W 14,Atq -375,Hailee Fitzpatrick,WFO,April,Friday
2022-04-01,W 14,Atq -433,Jayce Fuentes,WFO,April,Friday
2022-04-01,W 14,Atq -370,Ella Roth,WFO,April,Friday
2022-04-01,W 14,Atq -423,Rodrigo Price,WFO,April,Friday
2022-04-01,W 14,Atq -438,Miles Fields,WFO,April,Friday
2022-04-01,W 14,Atq -349,Trystan Ortega,WFO,April,Friday
2022-04-01,W 14,Atq -459,Iris Woodard,WFO,April,Friday
2022-04-01,W 14,Atq -419,Faith Hamilton,WFO,April,Friday
2022-04-01,W 14,Atq -446,April Ayers,WFO,April,Friday
2022-04-01,W 14,Atq -334,Boston Morse,WFO,April,Friday
2022-04-01,W 14,Atq -343,Myla Klein,WFO,April,Friday
2022-04-01,W 14,Atq -335,Madelynn Gray,WFO,April,Friday
2022-04-01,W 14,Atq -440,Mckayla Parker,WFO,April,Friday
2022-04-01,W 14,Atq -405,Sofia Solis,WFO,April,Friday
2022-04-01,W 14,Atq -450,Miya Hampton,WFO,April,Friday
2022-04-01,W 14,Atq -467,Cason David,WFO,April,Friday
2022-04-01,W 14,Atq -419,Kaylah Schultz,WFO,April,Friday
2022-04-01,W 14,Atq -335,Tori Shannon,WFO,April,Friday
2022-04-01,W 14,Atq -397,Grace Stone,WFO,April,Friday
2022-04-01,W 14,Atq -404,Ana Little,WFO,April,Friday
2022-04-01,W 14,Atq -436,Phoenix Brady,WFO,April,Friday
2022-04-01,W 14,Atq -441,Loki Lal,WFO,April,Friday
2022-04-01,W 14,Atq -366,Peter Pandey,WFO,April,Friday
2022-04-01,W 14,Atq -438,Mekhi Singleton,WFO,April,Friday
2022-04-01,W 14,Atq -398,Bo Cordova,WFO,April,Friday
